iter	Passed	Remaining
956	9014	405
957	9022	395
958	9030	386
959	9037	376
960	9046	367
961	9053	357
962	9061	348
963	9068	338
964	9076	329
965	9084	319
966	9091	310
967	9098	300
968	9106	291
969	9113	281
970	9121	272
971	9128	262
972	9136	253
973	9143	244
974	9151	234
975	9159	225
976	9166	215
977	9174	206
978	9181	196
979	9189	187
980	9196	178
981	9204	168
982	9211	159
983	9219	149
984	9226	140
985	9234	131
986	9241	121
987	9249	112
988	9256	102
989	9263	93
990	9271	84
991	9279	74
992	9286	65
993	9294	56
994	9301	46
995	9309	37
996	9316	28
997	9324	18
998	9331	9
999	9339	0
